"landCtry","vslFlgCtry","vslLenCls","stock","gearType","year","tons","no_trips","foreign"
"DEU","DEU","VL0008","her.27.20-24","Passive","2018",514.553,438,"landed_home"
"DEU","DEU","VL0008","spr.27.2232","Passive","2018",0.03,1,"landed_home"
"DEU","DEU","VL0810","her.27.20-24","Active","2018",3.542,8,"landed_home"
"DEU","DEU","VL0810","her.27.20-24","Passive","2018",994.636,1092,"landed_home"
"DEU","DEU","VL1012","her.27.20-24","Active","2018",214.726,71,"landed_home"
"DEU","DEU","VL1012","her.27.20-24","Passive","2018",1425.373,951,"landed_home"
"DEU","DEU","VL1012","spr.27.2232","Active","2018",0.08,2,"landed_home"
"DEU","DEU","VL1218","her.27.20-24","Active","2018",1908.843,248,"landed_home"
"DEU","DEU","VL1218","her.27.20-24","Passive","2018",284.131,120,"landed_home"
"DEU","DEU","VL1218","spr.27.2232","Active","2018",1094.046,179,"landed_home"
"DEU","DEU","VL1218","spr.27.2232","Passive","2018",0.238,3,"landed_home"
"DEU","DEU","VL1824","her.27.20-24","Active","2018",3026.332,194,"landed_home"
"DEU","DEU","VL1824","her.27.20-24","Passive","2018",7.457,1,"landed_home"
"DEU","DEU","VL1824","spr.27.2232","Active","2018",398.746,108,"landed_home"
"DEU","DEU","VL2440","her.27.20-24","Active","2018",3017.384,145,"landed_home"
"DEU","DEU","VL2440","spr.27.2232","Active","2018",30.069,66,"landed_home"
"DEU","DEU","VL40XX","her.27.20-24","Active","2018",101.534,1,"landed_home"
"DNK","DEU","VL0008","her.27.20-24","Passive","2018",0.44,1,"landed_abroad"
"DNK","DEU","VL2440","her.27.25-2932","Active","2018",940.775,6,"landed_abroad"
"DNK","DEU","VL2440","spr.27.2232","Active","2018",2324.418,6,"landed_abroad"
"DNK","DEU","VL40XX","her.27.20-24","Active","2018",30.932,1,"landed_abroad"
"DNK","DEU","VL40XX","her.27.25-2932","Active","2018",3084.756,19,"landed_abroad"
"DNK","DEU","VL40XX","spr.27.2232","Active","2018",11620.361,19,"landed_abroad"
"DNK","DEU","VL40XX","spr.27.3a","Active","2018",34.861,1,"landed_abroad"
"DNK","DNK","VL0008","her.27.20-24","Passive","2018",9.0632,154,"landed_home"
"DNK","DNK","VL0810","her.27.20-24","Active","2018",1.5005,2,"landed_home"
"DNK","DNK","VL0810","her.27.20-24","Passive","2018",17.313,137,"landed_home"
"DNK","DNK","VL1012","her.27.20-24","Active","2018",0.0105,2,"landed_home"
"DNK","DNK","VL1012","her.27.20-24","Passive","2018",68.609,34,"landed_home"
"DNK","DNK","VL1218","her.27.20-24","Active","2018",3653.1312000001,220,"landed_home"
"DNK","DNK","VL1218","her.27.20-24","Passive","2018",0.0035,5,"landed_home"
"DNK","DNK","VL1218","her.27.25-2932","Active","2018",301.8859999999,23,"landed_home"
"DNK","DNK","VL1218","spr.27.2232","Active","2018",7827.68,124,"landed_home"
"DNK","DNK","VL1218","spr.27.3a","Active","2018",188.54,10,"landed_home"
"DNK","DNK","VL1824","her.27.20-24","Active","2018",1351.2109999999,63,"landed_home"
"DNK","DNK","VL1824","her.27.25-2932","Active","2018",9.71277777772382e-11,1,"landed_home"
"DNK","DNK","VL1824","spr.27.2232","Active","2018",0.893,2,"landed_home"
"DNK","DNK","VL1824","spr.27.3a","Active","2018",3123.78,115,"landed_home"
"DNK","DNK","VL2440","her.27.20-24","Active","2018",0.323,5,"landed_home"
"DNK","DNK","VL40XX","her.27.20-24","Active","2018",203.77,1,"landed_home"
"DNK","DNK","VL40XX","her.27.25-2932","Active","2018",11065.6212768437,32,"landed_home"
"DNK","DNK","VL40XX","spr.27.2232","Active","2018",17239.5577631563,31,"landed_home"
"DNK","FIN","VL1012","her.27.25-2932","Active","2018",110.75,1,"landed_abroad"
"DNK","FIN","VL1012","spr.27.2232","Active","2018",12,1,"landed_abroad"
"DNK","FIN","VL2440","her.27.20-24","Active","2018",0.536,1,"landed_abroad"
"DNK","FIN","VL2440","her.27.25-2932","Active","2018",6278.701,33,"landed_abroad"
"DNK","FIN","VL2440","her.27.3031","Active","2018",703.431,4,"landed_abroad"
"DNK","FIN","VL2440","spr.27.2232","Active","2018",2564.273,34,"landed_abroad"
"DNK","FIN","VL40XX","her.27.25-2932","Active","2018",287.756,5,"landed_abroad"
"DNK","FIN","VL40XX","her.27.3031","Active","2018",670.644,4,"landed_abroad"
"DNK","FIN","VL40XX","spr.27.2232","Active","2018",295.3,7,"landed_abroad"
"DNK","LTU","VL1824","her.27.25-2932","Active","2018",72,8,"landed_abroad"
"DNK","LTU","VL1824","spr.27.2232","Active","2018",288.9,8,"landed_abroad"
"DNK","LTU","VL2440","her.27.25-2932","Active","2018",2334.001,109,"landed_abroad"
"DNK","LTU","VL2440","spr.27.2232","Active","2018",9054.762,115,"landed_abroad"
"DNK","LTU","VL40XX","her.27.25-2932","Active","2018",825.005,10,"landed_abroad"
"DNK","LTU","VL40XX","spr.27.2232","Active","2018",2608.879,10,"landed_abroad"
"DNK","LVA","VL2440","her.27.25-2932","Active","2018",260.583,45,"landed_abroad"
"DNK","LVA","VL2440","spr.27.2232","Active","2018",1878.6,47,"landed_abroad"
"DNK","POL","VL1012","spr.27.2232","Active","2018",10.587,4,"landed_abroad"
"DNK","POL","VL1218","her.27.25-2932","Active","2018",57.5,8,"landed_abroad"
"DNK","POL","VL1218","spr.27.2232","Active","2018",222,18,"landed_abroad"
"DNK","POL","VL1824","her.27.20-24","Active","2018",3,1,"landed_abroad"
"DNK","POL","VL1824","her.27.25-2932","Active","2018",1809.233,189,"landed_abroad"
"DNK","POL","VL1824","spr.27.2232","Active","2018",3536.089,192,"landed_abroad"
"DNK","POL","VL2440","her.27.20-24","Active","2018",26,2,"landed_abroad"
"DNK","POL","VL2440","her.27.25-2932","Active","2018",6635.78,205,"landed_abroad"
"DNK","POL","VL2440","spr.27.2232","Active","2018",14789.28,216,"landed_abroad"
"DNK","SWE","VL0810","her.27.20-24","Passive","2018",7,10,"landed_abroad"
"DNK","SWE","VL1012","her.27.20-24","Passive","2018",307.415,169,"landed_abroad"
"DNK","SWE","VL2440","her.27.20-24","Active","2018",642.5,15,"landed_abroad"
"DNK","SWE","VL2440","her.27.25-2932","Active","2018",5117,27,"landed_abroad"
"DNK","SWE","VL2440","her.27.3031","Active","2018",226,2,"landed_abroad"
"DNK","SWE","VL2440","spr.27.2232","Active","2018",4197.8,29,"landed_abroad"
"DNK","SWE","VL2440","spr.27.3a","Active","2018",52.84,9,"landed_abroad"
"DNK","SWE","VL40XX","her.27.20-24","Active","2018",4006.5,20,"landed_abroad"
"DNK","SWE","VL40XX","her.27.25-2932","Active","2018",27112.128,68,"landed_abroad"
"DNK","SWE","VL40XX","her.27.3031","Active","2018",95,1,"landed_abroad"
"DNK","SWE","VL40XX","spr.27.2232","Active","2018",25741.272,69,"landed_abroad"
"EST","EST","VL0008","her.27.25-2932","Passive","2018",80.62635,1598,"landed_home"
"EST","EST","VL0008","her.27.28","Passive","2018",37.4677,417,"landed_home"
"EST","EST","VL0008","spr.27.2232","Passive","2018",0.5375,32,"landed_home"
"EST","EST","VL0810","her.27.25-2932","Passive","2018",676.8516,375,"landed_home"
"EST","EST","VL0810","her.27.28","Passive","2018",441.3035,263,"landed_home"
"EST","EST","VL0810","spr.27.2232","Passive","2018",0.047,5,"landed_home"
"EST","EST","VL1012","her.27.25-2932","Passive","2018",392.897,64,"landed_home"
"EST","EST","VL1012","her.27.28","Passive","2018",5189.858,709,"landed_home"
"EST","EST","VL1012","spr.27.2232","Passive","2018",0.023,1,"landed_home"
"EST","EST","VL1218","her.27.25-2932","Active","2018",22.795,11,"landed_home"
"EST","EST","VL1218","her.27.28","Passive","2018",1245.453,122,"landed_home"
"EST","EST","VL1218","spr.27.2232","Active","2018",29.045,11,"landed_home"
"EST","EST","VL1824","her.27.25-2932","Active","2018",4433.31,636,"landed_home"
"EST","EST","VL1824","her.27.28","Active","2018",876.655,36,"landed_home"
"EST","EST","VL1824","spr.27.2232","Active","2018",6921.286,644,"landed_home"
"EST","EST","VL2440","her.27.25-2932","Active","2018",14028.566,1880,"landed_home"
"EST","EST","VL2440","her.27.28","Active","2018",3396.595,178,"landed_home"
"EST","EST","VL2440","spr.27.2232","Active","2018",19895.554,1904,"landed_home"
"EST","FIN","VL2440","her.27.25-2932","Active","2018",3059.125,74,"landed_abroad"
"EST","FIN","VL2440","her.27.3031","Active","2018",1178,7,"landed_abroad"
"EST","FIN","VL2440","spr.27.2232","Active","2018",1992.482,74,"landed_abroad"
"EST","FIN","VL40XX","her.27.25-2932","Active","2018",577.574,11,"landed_abroad"
"EST","FIN","VL40XX","her.27.3031","Active","2018",409,2,"landed_abroad"
"EST","FIN","VL40XX","spr.27.2232","Active","2018",467.908,12,"landed_abroad"
"EST","LTU","VL1824","her.27.25-2932","Active","2018",1.25,1,"landed_abroad"
"EST","LTU","VL1824","spr.27.2232","Active","2018",1.25,1,"landed_abroad"
"EST","LTU","VL2440","her.27.25-2932","Active","2018",14,2,"landed_abroad"
"EST","LTU","VL2440","spr.27.2232","Active","2018",40,2,"landed_abroad"
"FIN","EST","VL1824","her.27.25-2932","Active","2018",297.822,10,"landed_abroad"
"FIN","EST","VL1824","spr.27.2232","Active","2018",209.78,10,"landed_abroad"
"FIN","EST","VL2440","her.27.25-2932","Active","2018",1082.093,29,"landed_abroad"
"FIN","EST","VL2440","spr.27.2232","Active","2018",820.476,29,"landed_abroad"
"FIN","FIN","VL1012","her.27.25-2932","Active","2018",331.932,42,"landed_home"
"FIN","FIN","VL1012","her.27.25-2932","Passive","2018",945.948,80,"landed_home"
"FIN","FIN","VL1012","her.27.3031","Active","2018",173.035,45,"landed_home"
"FIN","FIN","VL1012","her.27.3031","Passive","2018",1252.479,154,"landed_home"
"FIN","FIN","VL1012","spr.27.2232","Active","2018",25.658,21,"landed_home"
"FIN","FIN","VL1012","spr.27.2232","Passive","2018",1.101,6,"landed_home"
"FIN","FIN","VL1218","her.27.25-2932","Active","2018",5738.129,352,"landed_home"
"FIN","FIN","VL1218","her.27.3031","Active","2018",2439.977,163,"landed_home"
"FIN","FIN","VL1218","spr.27.2232","Active","2018",122.315,85,"landed_home"
"FIN","FIN","VL1824","her.27.25-2932","Active","2018",10803.16,355,"landed_home"
"FIN","FIN","VL1824","her.27.3031","Active","2018",5683.644,124,"landed_home"
"FIN","FIN","VL1824","spr.27.2232","Active","2018",1767.983,356,"landed_home"
"FIN","FIN","VL2440","her.27.25-2932","Active","2018",10406.299,91,"landed_home"
"FIN","FIN","VL2440","her.27.3031","Active","2018",49270.828,524,"landed_home"
"FIN","FIN","VL2440","spr.27.2232","Active","2018",4675.884,424,"landed_home"
"FIN","FIN","VL40XX","her.27.25-2932","Active","2018",1587.157,35,"landed_home"
"FIN","FIN","VL40XX","her.27.3031","Active","2018",10189.104,112,"landed_home"
"FIN","FIN","VL40XX","spr.27.2232","Active","2018",1976.047,101,"landed_home"
"FIN","LTU","VL2440","her.27.25-2932","Active","2018",198,8,"landed_abroad"
"FIN","LTU","VL2440","spr.27.2232","Active","2018",522,8,"landed_abroad"
"LTU","LTU","VL0008","her.27.25-2932","Passive","2018",22.195,14,"landed_home"
"LTU","LTU","VL0008","spr.27.2232","Passive","2018",0.025,1,"landed_home"
"LTU","LTU","VL1012","her.27.25-2932","Passive","2018",4.8,11,"landed_home"
"LTU","LTU","VL2440","her.27.25-2932","Active","2018",552.24,102,"landed_home"
"LTU","LTU","VL2440","spr.27.2232","Active","2018",49.3,20,"landed_home"
"LVA","EST","VL1824","her.27.28","Active","2018",207.199,11,"landed_abroad"
"LVA","EST","VL1824","spr.27.2232","Active","2018",18.674,6,"landed_abroad"
"LVA","EST","VL2440","her.27.25-2932","Active","2018",463.057,54,"landed_abroad"
"LVA","EST","VL2440","her.27.28","Active","2018",1126.305,80,"landed_abroad"
"LVA","EST","VL2440","spr.27.2232","Active","2018",783.392,123,"landed_abroad"
"LVA","LTU","VL1824","her.27.25-2932","Active","2018",361.263,68,"landed_abroad"
"LVA","LTU","VL1824","spr.27.2232","Active","2018",587.569,61,"landed_abroad"
"LVA","LTU","VL2440","her.27.25-2932","Active","2018",773.049,72,"landed_abroad"
"LVA","LTU","VL2440","spr.27.2232","Active","2018",1770.674,84,"landed_abroad"
"LVA","LTU","VL40XX","her.27.25-2932","Active","2018",35,2,"landed_abroad"
"LVA","LTU","VL40XX","spr.27.2232","Active","2018",265,2,"landed_abroad"
"LVA","LVA","VL1218","her.27.28","Active","2018",6539.534,1947,"landed_home"
"LVA","LVA","VL1218","spr.27.2232","Active","2018",936.957,1549,"landed_home"
"LVA","LVA","VL2440","her.27.25-2932","Active","2018",9453.406,2070,"landed_home"
"LVA","LVA","VL2440","her.27.28","Active","2018",7985.193,1003,"landed_home"
"LVA","LVA","VL2440","spr.27.2232","Active","2018",34269.488,2922,"landed_home"
"LVA","POL","VL2440","her.27.25-2932","Active","2018",559.89,57,"landed_abroad"
"LVA","POL","VL2440","spr.27.2232","Active","2018",1023.91,57,"landed_abroad"
"NOR","DNK","VL40XX","her.27.20-24","Active","2018",0.98,1,"landed_abroad"
"POL","LTU","VL1824","her.27.25-2932","Active","2018",671.5,32,"landed_abroad"
"POL","LTU","VL1824","spr.27.2232","Active","2018",901.75,32,"landed_abroad"
"POL","LVA","VL2440","her.27.25-2932","Active","2018",123.48,10,"landed_abroad"
"POL","LVA","VL2440","spr.27.2232","Active","2018",14.08,10,"landed_abroad"
"POL","POL","VL0008","her.27.20-24","Passive","2018",0.017,8,"landed_home"
"POL","POL","VL0008","her.27.25-2932","Passive","2018",69.889,545,"landed_home"
"POL","POL","VL0008","spr.27.2232","Passive","2018",0.57,11,"landed_home"
"POL","POL","VL0810","her.27.20-24","Active","2018",4.265,22,"landed_home"
"POL","POL","VL0810","her.27.20-24","Passive","2018",285.432,257,"landed_home"
"POL","POL","VL0810","her.27.25-2932","Passive","2018",575.03515,582,"landed_home"
"POL","POL","VL1012","her.27.20-24","Active","2018",7.967,16,"landed_home"
"POL","POL","VL1012","her.27.20-24","Passive","2018",384.798,178,"landed_home"
"POL","POL","VL1012","her.27.25-2932","Active","2018",10.76,5,"landed_home"
"POL","POL","VL1012","her.27.25-2932","Passive","2018",407.603,243,"landed_home"
"POL","POL","VL1012","spr.27.2232","Passive","2018",0.39,2,"landed_home"
"POL","POL","VL1218","her.27.20-24","Active","2018",75.056,100,"landed_home"
"POL","POL","VL1218","her.27.25-2932","Active","2018",839.629,225,"landed_home"
"POL","POL","VL1218","her.27.25-2932","Passive","2018",8.499,11,"landed_home"
"POL","POL","VL1218","spr.27.2232","Active","2018",1701.696,219,"landed_home"
"POL","POL","VL1218","spr.27.2232","Passive","2018",0.027,3,"landed_home"
"POL","POL","VL1824","her.27.20-24","Active","2018",10.805,17,"landed_home"
"POL","POL","VL1824","her.27.25-2932","Active","2018",9818.275,1948,"landed_home"
"POL","POL","VL1824","spr.27.2232","Active","2018",14141.83,1731,"landed_home"
"POL","POL","VL2440","her.27.20-24","Active","2018",967.165,171,"landed_home"
"POL","POL","VL2440","her.27.25-2932","Active","2018",27456.225,2583,"landed_home"
"POL","POL","VL2440","spr.27.2232","Active","2018",43138.323,2154,"landed_home"
"SWE","DEU","VL40XX","her.27.20-24","Active","2018",73.415,1,"landed_abroad"
"SWE","DNK","VL40XX","her.27.20-24","Active","2018",531.078,5,"landed_abroad"
"SWE","EST","VL1824","her.27.25-2932","Active","2018",111.821,4,"landed_abroad"
"SWE","EST","VL1824","spr.27.2232","Active","2018",186.506,4,"landed_abroad"
"SWE","EST","VL2440","her.27.25-2932","Active","2018",615.231,35,"landed_abroad"
"SWE","EST","VL2440","spr.27.2232","Active","2018",760.088,35,"landed_abroad"
"SWE","FIN","VL1012","her.27.25-2932","Active","2018",647.704,3,"landed_abroad"
"SWE","FIN","VL1012","spr.27.2232","Active","2018",60.639,3,"landed_abroad"
"SWE","FIN","VL1218","her.27.25-2932","Active","2018",518.043,28,"landed_abroad"
"SWE","FIN","VL1218","her.27.3031","Active","2018",17.9,1,"landed_abroad"
"SWE","FIN","VL1218","spr.27.2232","Active","2018",316.723,29,"landed_abroad"
"SWE","FIN","VL2440","her.27.25-2932","Active","2018",2910.195,30,"landed_abroad"
"SWE","FIN","VL2440","her.27.3031","Active","2018",5684.252,33,"landed_abroad"
"SWE","FIN","VL2440","spr.27.2232","Active","2018",1413.212,54,"landed_abroad"
"SWE","FIN","VL40XX","her.27.25-2932","Active","2018",443.58,6,"landed_abroad"
"SWE","FIN","VL40XX","her.27.3031","Active","2018",1392.391,9,"landed_abroad"
"SWE","FIN","VL40XX","spr.27.2232","Active","2018",776.287,12,"landed_abroad"
"SWE","LTU","VL2440","her.27.25-2932","Active","2018",75,6,"landed_abroad"
"SWE","LTU","VL2440","spr.27.2232","Active","2018",297.5,6,"landed_abroad"
"SWE","POL","VL2440","her.27.20-24","Active","2018",6.1,4,"landed_abroad"
"SWE","POL","VL2440","her.27.25-2932","Active","2018",685,13,"landed_abroad"
"SWE","POL","VL2440","spr.27.2232","Active","2018",1141.12,13,"landed_abroad"
"SWE","SWE","VL0008","her.27.20-24","Active","2018",39.508,115,"landed_home"
"SWE","SWE","VL0008","her.27.20-24","Passive","2018",1.038,38,"landed_home"
"SWE","SWE","VL0008","her.27.25-2932","Passive","2018",29.663,558,"landed_home"
"SWE","SWE","VL0008","her.27.3031","Passive","2018",127.3243,1325,"landed_home"
"SWE","SWE","VL0008","spr.27.3a","Active","2018",0.201,1,"landed_home"
"SWE","SWE","VL0810","her.27.20-24","Passive","2018",6.5025,114,"landed_home"
"SWE","SWE","VL0810","her.27.25-2932","Passive","2018",24.301,334,"landed_home"
"SWE","SWE","VL0810","her.27.3031","Passive","2018",89.0784,624,"landed_home"
"SWE","SWE","VL1012","her.27.20-24","Active","2018",50.6,8,"landed_home"
"SWE","SWE","VL1012","her.27.20-24","Passive","2018",112.908,95,"landed_home"
"SWE","SWE","VL1012","her.27.25-2932","Active","2018",1606.331,367,"landed_home"
"SWE","SWE","VL1012","her.27.25-2932","Passive","2018",14.3,20,"landed_home"
"SWE","SWE","VL1012","her.27.3031","Active","2018",183.938,294,"landed_home"
"SWE","SWE","VL1012","her.27.3031","Passive","2018",155.8835,280,"landed_home"
"SWE","SWE","VL1012","spr.27.2232","Active","2018",317.12,225,"landed_home"
"SWE","SWE","VL1012","spr.27.3a","Active","2018",121,20,"landed_home"
"SWE","SWE","VL1218","her.27.20-24","Active","2018",0.006,1,"landed_home"
"SWE","SWE","VL1218","her.27.25-2932","Active","2018",1085.178,189,"landed_home"
"SWE","SWE","VL1218","her.27.25-2932","Passive","2018",0.68,4,"landed_home"
"SWE","SWE","VL1218","her.27.3031","Active","2018",2654.305,259,"landed_home"
"SWE","SWE","VL1218","her.27.3031","Passive","2018",248.99,105,"landed_home"
"SWE","SWE","VL1218","spr.27.2232","Active","2018",202.289,204,"landed_home"
"SWE","SWE","VL1824","her.27.20-24","Active","2018",1337,24,"landed_home"
"SWE","SWE","VL1824","her.27.25-2932","Active","2018",5767.74,519,"landed_home"
"SWE","SWE","VL1824","spr.27.2232","Active","2018",2717.305,516,"landed_home"
"SWE","SWE","VL1824","spr.27.3a","Active","2018",1.275,10,"landed_home"
"SWE","SWE","VL2440","her.27.20-24","Active","2018",3984.559,73,"landed_home"
"SWE","SWE","VL2440","her.27.25-2932","Active","2018",9408.295,234,"landed_home"
"SWE","SWE","VL2440","her.27.3031","Active","2018",10763.562,90,"landed_home"
"SWE","SWE","VL2440","spr.27.2232","Active","2018",5113.2,339,"landed_home"
"SWE","SWE","VL2440","spr.27.3a","Active","2018",48.33,29,"landed_home"
"SWE","SWE","VL40XX","her.27.20-24","Active","2018",8237.8,52,"landed_home"
"SWE","SWE","VL40XX","her.27.25-2932","Active","2018",16753,54,"landed_home"
"SWE","SWE","VL40XX","her.27.3031","Active","2018",1948.5,9,"landed_home"
"SWE","SWE","VL40XX","spr.27.2232","Active","2018",10846.15,61,"landed_home"
"SWE","SWE","VL40XX","spr.27.3a","Active","2018",830,24,"landed_home"
